Agilent Technologies	A	Alcoa Inc	AA
Purecycle Corp	PCYO	Pioneer Drilling Co	PDC
Patterson Companies	PDCO	Pride Intl Inc Del	PDE
Pro-Dex Inc Colo	PDEX	Pdf Solutions Inc	PDFS
Pdg Environmental In	PDGE	Pdi Inc	PDII
Pdl Biopharma Inc	PDLI	Paradigm Med Inds Inc D	PDMI
Pyramid Oil Co	PDO	Particle Drilling Te	PDRT
Pebblebrook Hotel Tr	PEB	Peoples Bk N C	PEBK
Peoples Bancorp Inc	PEBO	Peets Coffee & Tea I	PEET
Public Svc Enterpris	PEG	Pegasystems Inc	PEGA
Pennsylvania Rl Est	PEI	Pacific Ethanol Inc	PEIX
Penn Natl Gaming Inc	PENN	Penford Corp	PENX
Pepsico Inc	PEP	Perfumania Hldgs Inc	PERF
Ellis Perry Intl Inc	PERY	Perma-Fix Environmen	PESI
Petroleum Dev Corp	PETD	Petsmart Inc	PETM
Petmed Express Inc	PETS	Prefered Bk Los Ange	PFBC
Premier Finl Bancorp	PFBI	Peoples Finl Corp Mi	PFBX
P F Changs China Bis	PFCB	Pfizer Inc	PFE
Pff Bancorp Inc	PFFB	Principal Financial	PFG
P&F Inds Inc	PFIN	Provident Finl Svcs	PFS
Pfsweb Inc	PFSW	Phase Forward Inc	PFWD
Procter & Gamble Co	PG	Peapack-Gladstone Fi	PGC
Premiere Global Svcs	PGI	Progress Energy Inc	PGN
Progenics Pharmaceut	PGNX	Progressive Corp Ohi	PGR
Pgt Inc	PGTI	Velocity Portfolio Grou	PGV
Parker Hannifin Corp	PH	Phc Inc Mass	PHC
Phh Corp	PHH	Palm Harbor Homes	PHHM
Phi Inc	PHII.K	Pacifichealth Labora	PHLI
Pulte Homes Corp	PHM	Photomedex Inc	PHMD.D
Panhandle Royalty Co	PHX	Pico Hldgs Inc	PICO
Polaris Inds Inc	PII	Pike Elec Corp	PIKE
Pinnacle Gas Resources	PINN	Pharmathene Inc	PIP
Pier I Imports Inc	PIR	Piper Jaffray Cos	PJC
Parker Drilling Co	PKD	Park Electrochemical	PKE
Packaging Corp Amer	PKG	Perkinelmer Inc	PKI
Park Ohio Hldgs Corp	PKOH	Procera Networks Inc	PKT
Parkway Pptys Inc	PKY	Protective Life Corp	PL
Playboy Enterprises	PLA	Photronic Labs Inc	PLAB
Plumas Bancorp	PLBC	Childrens Pl Retail	PLCE
Polycom Inc	PLCM	Plc Sys Inc	PLCS.F
Prologis Tr	PLD	Presidential Life Co	PLFE
Pall Corp	PLL	Planar Sys Inc	PLNR
Preformed Line Prods	PLPC	Plantronics Inc New	PLT
Plug Power Inc	PLUG	Eplus Inc	PLUS
Plexus Corp	PLXS	Plx Technology Inc	PLXT
Philip Morris Intl Inc	PM	Pma Cap Corp	PMAC.A
Pacific Mercantile B	PMBC	Pharmerica Corp	PMC
Pmc-Sierra Inc	PMCS	Psychemedics Corp	PMD
Pmfg Inc	PMFG	Pmi Group Inc	PMI
Pennymac Mtg Invt Tr	PMT	Parametric Technolog	PMTC
Palomar Med Technolo	PMTI	Princeton Natl Banco	PNBC
Patriot Natl Bancorp	PNBK	Pnc Financial Corp	PNC
Pinnacle Airl Corp	PNCL	Pinnacle Finl Partne	PNFP
Pinnacle Entmt Inc	PNK	Pnm Res Inc	PNM
Pennichuck Corp	PNNW	Pentair Inds Inc	PNR
Panera Bread Co	PNRA	Primeenergy Corp	PNRG
Pinnacle Data Sys In	PNS	Penson Worldwide Inc	PNSN
Pinnacle West Cap Co	PNW	Phoenix Cos Inc New	PNX
Piedmont Nat Gas Inc	PNY	Insulet Corp	PODD
Polyone Corp	POL	Pepco Holdings Inc.	POM
Protection One Inc	PONE	Pool Corporation	POOL
Pope Res Del Ltd Prt	POPE	Portland Gen Elec Co	POR
Positron Corp	POSC	Power Integrations I	POWI
Powell Inds Inc	POWL	Powersecure Intl Inc	POWR
Pozen Inc	POZN	Pacific Premier Banc	PPBI
Penwest Pharmaceutic	PPCO	Pre Paid Legal Svcs	PPD
Pharmaceutical Prod	PPDI	Ppg Inds Inc	PPG
Peregrine Pharmaceutica	PPHM	Ppl Corp	PPL
Polypore Intl Inc	PPO	Post Pptys Inc	PPS
Petroquest Energy In	PQ	Proassurance Corp	PRA
Portfolio Recovery A	PRAA	Perceptron Inc	PRCP
Partnerre Ltd	PRE	Perficient Inc	PRFT
Perrigo Co	PRGO	Progress Software Co	PRGS
Prg-Schultz Internat	PRGX	Park Natl Corp	PRK
Parkervision Inc	PRKR	Peerless Sys Corp	PRLS
Primedia Inc	PRM	Pros Holdings Inc	PRO
Deltek Inc	PROJ	Provident Finl Hldgs	PROV
Purple Communications I	PRPL	Portec Rail Prods In	PRPX
Primus Guaranty Ltd	PRS	Providence Svc Corp	PRSC
Prosperity Bancshare	PRSP	Presstek Inc	PRST
U.S. Auto Parts Netw	PRTS	Prudential Finl Inc	PRU
Premierwest Bancorp	PRWT	Par Pharmaceutical C	PRX
Premier Exibitions I	PRXI	Parexel Intl Corp	PRXL
Proxim Wireless Corp	PRXM	Public Storage Inc	PSA
Ps Business Pks Inc	PSB	Pacific State Bancor	PSBC
Pioneer Southwst Enrg P	PSE	Pericom Semiconducto	PSEM
Positiveid Corp	PSID	Pricesmart Inc	PSMT
Collective Brands Inc	PSS	Pss World Med Inc	PSSI
Pacific Sunwear Cali	PSUN	Psychiatric Solution	PSYS
Par Technology Corp	PTC	Phoenix Technology L	PTEC
Pokertek Inc	PTEK	Patterson Uti Energy	PTEN
Pain Therateutics In	PTIE	Performance Technolo	PTIX
Palatin Technologies	PTN	Platinum Underwriter	PTP
Pantry Inc	PTRY	P A M Transn Svcs In	PTSI
Point 360 New	PTSX	Pactiv Corp	PTV
Pulaski Finl Corp	PULB	Pure Bioscience	PURE
Penn Va Corp	PVA	Pvf Capital Corp	PVFC
Penn Va Gp Hldgs L P	PVG	Phillips Van Heusen	PVH
Penn Va Resources Pa	PVR	Parkvale Finl Corp	PVSA
Pervasip Corp	PVSP	Pervasive Software I	PVSW
Privatebancorp Inc	PVTB	Pittsburgh & W Va Rr	PW
Powerwave Technologi	PWAV	Power-One Inc	PWER
Penns Woods Bancorp	PWOD	Quanta Svcs Inc	PWR
Providence&Worcestr	PWX	Praxair Inc	PX
Pioneer Nat Res Co	PXD	Phoenix Footwear Gro	PXG
Pixelworks Inc	PXLW	Plains Expl & Prodtn	PXP
Payment Data Sys Inc	PYDS	Pzena Investment Mgmt I	PZN
Papa Johns Intl Inc	PZZA	Pizza Inn Inc New	PZZI
Qwest Communications	Q	Qad Inc	QADI
Qualstar Corp	QBAK	Cubic Energy Inc	QBC
Qc Hldgs Inc	QCCO	Qualcomm Inc	QCOM
Questor Pharmaceutic	QCOR	Qcr Holdings Inc	QCRH
Quidel Corp	QDEL	Quadramed Corp	QDHC
Quest Energy Partners L	QELP	Q E P Inc	QEPC
Quigley Corp	QGLY	Qlogic Corp	QLGC
Quality Distr Inc Fl	QLTY	Quantum Group Inc	QNGP
Quepasa Corp	QPSA	Quest Resource Corp	QRCP
Quest Software Inc	QSFT	Quality Sys Inc	QSII
Quantum-Dlt&Storage	QTM	Quantum Fuel Sys Tec	QTWW
Quicklogic Corp	QUIK	Quixote Corp	QUIX
Ryder Sys Inc	R	Rite Aid Corp	RAD
Radiant Systems Inc	RADS	Rae Sys Inc	RAE
Ralcorp Hldgs Inc Ne	RAH	Reynolds American In	RAI
Freightcar Amer Inc	RAIL	Ram Energy Resources	RAME
Rait Invt Tr	RAS	Raven Inds Inc	RAVN
Rackspace Hosting Inc	RAX	Regal Beloit Corp	RBC
Republic Bancorp Ky	RBCA.A	Rubicon Technology Inc	RBCN
Sport Supply Group Inc	RBI	Robbins & Myers Inc	RBN
Rurban Finl Corp	RBNF	Royal Bancshares Pa	RBPA.A
Rent A Ctr Inc New	RCII	Rockville Finl Inc	RCKB
Rocky Brands Inc	RCKY	Royal Caribbean Crui	RCL
Rcm Technologies Inc	RCMT	Rcn Corp	RCNI
Rc2 Corp	RCRC	Rowan Cos Inc	RDC
Ardea Biosciences In	RDEA	Elizabeth Arden Inc	RDEN
Reading Internationa	RDI	Ruddick Corp	RDK
Radian Group Inc	RDN	Radnet Inc	RDNT
Everest Re Group Ltd	RE	Resources Connection	RECN
Reeds Inc	REED	Research Frontiers C	REFR
Regency Ctrs Corp	REG	Regeneron Pharmaceut	REGN
Reis Inc	REIS	Richardson Electrs	RELL
Reliv Intl Inc	RELV	Rentrak Corp	RENT
Rpc Inc	RES	Revlon Inc	REV
Princeton Review Inc	REVU	Resource America Inc	REXI
Rex Energy Corporation	REXX	Regions Finl Corp	RF
Rf Inds Ltd	RFIL	Rf Microdevices Inc	RFMD
Rf Monolithics Inc	RFMI	Reinsurance Group Amer	RGA
Regal Entmt Group	RGC	Regent Communication	RGCI
Rgc Res Inc	RGCO	Response Genetics Inc	RGDX
Repligen Corp	RGEN	Royal Gold Inc	RGLD
Regenerx Biopharmace	RGN	Regency Energy Partn	RGNC
Sturm Ruger & Co Inc	RGR	Regis Corp Minn	RGS
Rehabcare Group Inc	RHB	Robert Half Intl Inc	RHI
Rhi Entmt Inc Del	RHIE	Red Hat Inc	RHT
Ricks Cabaret Intl I	RICK	Rigel Pharmaceutical	RIGL
Rimage Corp	RIMG	Riskmetrics Group Inc	RISK
Riviera Hldgs Corp	RIV	Republic Awys Hldgs	RJET
Raymond James Finl I	RJF	Rock-Tenn Co	RKT
Polo Ralph Lauren Co	RL	Red Lion Hotels Corp	RLH
Rli Corp	RLI	Renaissance Learning	RLRN
Rambus Inc Del	RMBS	Rocky Mnt Chocolate	RMCF
Resmed Inc	RMD	U S Concrete Inc	RMIX
Rainmaker Systems	RMKR	Rockwell Medical Tec	RMTI
Ramtron Intl Corp	RMTR	Ready Mix Inc	RMX
Wireless Ronin Techn	RNIN	Rexahn Pharmaceutica	RNN
Rightnow Technologie	RNOW	Renaissance Re Hldgs	RNR
Renasant Corp	RNST	Realnetworks Inc	RNWK
Rock Of Ages Corp	ROAC	Rockwood Hldgs Inc	ROC
Gibraltar Inds Inc	ROCK	Rochester Med Corp	ROCM
Rodman & Renshaw Cap Gp	RODM	Rogers Corp	ROG
Rotech Healthcare In	ROHI	Radio One Inc	ROIA.K
Rockwell Automation	ROK	Rollins Inc	ROL
Rbc Bearings Inc	ROLL	Roma Financial Corp	ROMA
Rome Bancorp Inc New	ROME	Roper Inds Inc New	ROP
Rosetta Resources In	ROSE	Ross Stores Inc	ROST
Rovi Corp	ROVI	Castle Brands Inc	ROX
Royale Energy Inc	ROYL	Radient Pharmaceuticals	RPC
Rainier Pac Finl Gro	RPFG	Rpm International	RPM
Repros Therapeutics	RPRX	Ramco-Gershenson Ppt	RPT
Raptor Pharmaceutical C	RPTP	Range Res Corp	RRC
Donnelley R R & Sons	RRD	Red Robin Gourmet Bu	RRGB
Rri Energy Inc	RRI	Rsc Holdings Inc	RRR
Reliance Steel & Alu	RS	Rex Stores Corp	RSC
Res-Care Inc	RSCR	Republic Svcs Inc	RSG
Radioshack Corp	RSH	Resource Cap Corp	RSO
Real Goods Solar Inc	RSOL	Rosetta Stone Inc	RST
Rofin Sinar Technolo	RSTI	Radisys Corp	RSYS
Ruby Tuesday Inc	RT	Rudolph Technologies	RTEC
Rti Intl Metals Inc	RTI	Rti Biologics Inc	RTIX
Rentech Inc	RTK	Raytheon Co	RTN
Realty Fin Corp	RTYF.Z	Rubios Restaurants I	RUBO
Rue21 Inc	RUE	Rural / Metro Corp	RURL
Rush Enterpises Inc	RUSH.A	Ruths Chris Steak Hs	RUTH
Riverbed Technology	RVBD	Rio Vista Energy Par	RVEP
Retail Ventures Inc	RVI	Retractable Technolo	RVP
Riverview Bancorp In	RVSB	Relm Wireless Corp	RWC
Redwood Tr Inc	RWT	Ims Health Inc	RX
Rxi Pharmaceuticals Cor	RXII	Ryland Group Inc	RYL
Rayonier Inc	RYN	Raser Technologies I	RZ
Sprint Nextel Corp	S	Incontact Inc	SAAS
Saba Software Inc	SABA	Sanderson Farms Inc	SAFM
Safety Ins Group Inc	SAFT	Sonic Automotive Inc	SAH
Saic Inc	SAI	Saia Inc	SAIA
Salem Communications	SALM	Boston Beer Inc	SAM
Sun American Bancorp	SAMB	Sanmina Sci Corp	SANM
Sapient Corp	SAPE	Sandy Spring Bancorp	SASR
Satcon Technology Co	SATC	Echostar Holding Corp	SATS
Savannah Bancorp Inc	SAVB	Sba Communications C	SBAC
Seacoast Bkg Corp Fl	SBCF	Sinclair Broadcast G	SBGI
Sally Beauty Hldgs I	SBH	Sterling Bancshares	SBIB
Security Bank Corp	SBKC	Signature Bk New Yor	SBNY
Santander Bancorp	SBP	Spanish Broadcasting	SBSA
Southside Bancshares	SBSI	Starbucks Corp	SBUX
Seabright Insurance	SBX	Scbt Financial Corp	SCBT
Scana Corp New	SCG	Scholastic Corp	SCHL
Schnitzer Stl Inds	SCHN	School Specialty Inc	SCHS
Schwab Charles Cp Ne	SCHW	Service Corp Intl	SCI
Scientific Learning	SCIL	Socket Mobile Inc	SCKT
Stepan Chem Co	SCL	Steelcloud Co	SCLD
Sciclone Pharmaceuti	SCLN	Southern Cmnty Finl	SCMF
Sucampo Pharmaceuticals	SCMP	Sycamore Networks Inc	SCMR
Superconductor Techn	SCON	Comscore Inc	SCOR
Steelcase Inc	SCS	Scansource Inc	SCSC
Select Comfort Corp	SCSS	Shoe Carnival Inc	SCVL
Starrett L S Co	SCX	Sandridge Energy Inc	SD
Soundbite Communication	SDBT	Strategic Diagnostic	SDIX
Sedona Corp Pa	SDNA	Switch & Data Inc	SDXC
Spectra Energy Corp	SE	Seachange Intl Inc	SEAC
Seaboard Corp	SEB	Sealed Air Corp New	SEE
Spartech Corp	SEH	Sei Corp	SEIC
Select Med Hldgs Corp	SEM	Seneca Foods Corp Ne	SENE.A
Senorx Inc	SENO	Spectra Energy Partners	SEP
Stifel Finl Corp	SF	Smithfield Foods Inc	SFD
Safeguard Scientifics I	SFE	Stancorp Finl Group	SFG
Istar Finl Inc	SFI	Ship Finance Interna	SFL
Shutterfly Inc	SFLY	Spherion Corp	SFN
Simmons First Nation	SFNC	Successfactors Inc	SFSF
Swift Energy Co	SFY	Saga Communications Inc	SGA
Superior Uniform Grp	SGC	Seattle Genetics Inc	SGEN
Silicon Graphics Intl C	SGI	Schawk Inc	SGK
Sigmatron Intl Inc	SGMA	Sangamo Biosciences	SGMO
Scientific Games Cor	SGMS	Star Gas Partners L	SGU
Stone Energy Corp	SGY	Shaw Group Inc	SHAW
Shore Bancshares Inc	SHBI	Shenandoah Telecommu	SHEN
Shuffle Master Inc	SHFL	Sears Hldgs Corp	SHLD
Schulman A Inc	SHLM	Shiloh Inds Inc	SHLO
Sunstone Hotel Invs	SHO	Madden Steven Ltd	SHOO
Shoretel Inc	SHOR	Sauer-Danfoss Inc	SHS
Sherwin Williams Co	SHW	Sigma Aldrich Corp	SIAL
Sifco Inds Inc	SIF	Signet Jewelers Limited	SIG
Siga Pharmaceuticals	SIGA	Selective Ins Group	SIGI
Sigma Designs Inc	SIGM	Smith Intl Inc	SII
Silicon Image Inc	SIMG	Sirius Xm Radio Inc	SIRI
Sirona Dental System	SIRO	Svb Finl Group	SIVB
Six Flags Inc	SIXF.Q	South Jersey Inds In	SJI
Smucker J M Co	SJM	Sjw Corp	SJW
Skilled Healthcare Grou	SKH	Saks Inc	SKS
Tanger Factory Outle	SKT	Skechers U S A Inc	SKX
Skyline Corp	SKY	Skyterra Communicati	SKYT
Skywest Inc	SKYW	Silicon Laboratories	SLAB
Schlumberger Ltd	SLB	Sara Lee Corp	SLE
Sl Green Rlty Corp	SLG	Silgan Holdings Inc	SLGN
Solera Holdings Inc	SLH	Sl Inds Inc	SLI
Slm Corp	SLM	Simulations Plus Inc	SLP
Salary Com Inc	SLRY	Selectica Inc	SLTC
Solta Med Inc	SLTM	Salix Pharmaceutical	SLXP
St Mary Ld & Expl Co	SM	Symmetry Med Inc	SMA
Smart Balance Inc	SMBL	Super Micro Computer In	SMCI
Scotts Co	SMG	Sanders Morris Harri	SMHG
Smith Midland Corp	SMID	Summit Financial Gro	SMMF
Symyx Technologies	SMMX	Smart Modular Techno	SMOD
Standard Mtr Prods	SMP	Stein Mart Inc	SMRT
Standard Microsystem	SMSC	Smith Micro Software	SMSI
Smithtown Bancorp In	SMTB	Semtech Corp	SMTC
Somanetics Corp	SMTS	Snap On Tools Corp	SNA
Inventure Group Inc	SNAK	Sun Bancorp Inc	SNBC
Synchronoss Technolo	SNCR	Sandisk Corp	SNDK
Security Natl Finl C	SNFC.A	Soligenix Inc	SNGX
Senior Hsg Pptys Tr	SNH	Sun Hydraulics Corp	SNHY
Scripps Networks Intera	SNI	Sonic Solutions	SNIC
Senomyx Inc	SNMX	Synopsys Inc	SNPS
Steak N Shake Co	SNS	Sunesis Pharmaceutic	SNSS
Sonesta Intl Hotels	SNST.A	Senesco Technologies	SNT
Synta Pharmaceutical	SNTA	Santarus Inc	SNTS
Synovus Finl Corp	SNV	Sonicwall Inc	SNWL
Synnex Corp	SNX	Southern Co	SO
Solutia Inc	SOA	Sonic Fdry Inc	SOFO
Gt Solar Intl Inc	SOLR	Somaxon Pharmaceutic	SOMX
Sonoco Prods Co	SON	Southern Natl Bancor	SONA
Sonic Corp	SONC	S1 Corporation	SONE
Sonosite Inc	SONO	Sonus Networks Inc	SONS
Sparton Corp	SPA	Span Amer Med Sys In	SPAN
Spartan Mtrs Inc	SPAR	Sport Chalet Inc	SPCH.A
Sport Chalet Inc	SPCH.B	Speedus Corp	SPDE
Spectrum Ctl Inc	SPEC	Spherix Inc	SPEX
Standard Pac Corp Ne	SPF	Simon Ppty Group Inc	SPG
Suburban Propane Par	SPH	Samaritan Pharmaceutica	SPHC
Spire Corp	SPIR	Staples Inc	SPLS
Superior Energy Svcs	SPN	Spectranetics Corp	SPNC
Spectrum Pharmaceuti	SPPI	Supertel Hospitality	SPPR
Spirit Aerosystems H	SPR	Smartpros Ltd	SPRO
Support Com Inc	SPRT	Spansion Inc	SPSN
Spartan Stores Inc	SPTN	Spx Corp	SPW
Sunpower Corp	SPWR.A	Sequenom Inc	SQNM
Standard Register Co	SR	1st Source Corp	SRCE
Stericycle Inc	SRCL	Surmodics Inc	SRDX
Sempra Energy	SRE	Stoneridge Inc	SRI
Srs Labs Inc	SRSL	Startek Inc	SRT
Sra Intl Inc	SRX	Sunrise Senior Livin	SRZ
Simpson Manufacturin	SSD	Stage Stores Inc	SSI
Scripps E W Co Ohio	SSP	Sovran Self Storage	SSS
Silicon Storage Tech	SSTI	Sunlink Health Syste	SSY
Stratasys Inc	SSYS	Staar Surgical Co	STAA
Standard Parking Cor	STAN	S & T Bancorp Inc	STBA
State Bancorp Inc N.	STBC	Stewart Information	STC
Steris Corp	STE	Stec Inc	STEC
Stewart Enterprises	STEI	Stellarone Corp	STEL
Steamcells Inc	STEM	State Auto Finl Corp	STFC
Suntrust Bks Inc	STI	St Jude Med Inc	STJ
Stocker & Yale Inc N	STKR	Sterling Bancorp	STL
Steel Dynamics Inc	STLD	Stanley Furniture In	STLY
Stamps Com Inc	STMP	Steiner Leisure Ltd	STNR
Stonemor Partners L	STON	Questar Corp	STR
Strayer Ed Inc	STRA	Sri/Surgical Express	STRC
Str Hldgs Inc	STRI	Sterling Constructio	STRL
Streamline Health So	STRM	Sutron Corp	STRN
Stratus Pptys Inc	STRS	Strattec Sec Corp	STRT
Supreme Inds Inc	STS	Sterling Finl Corp W	STSA
Argon St Inc	STST	State Str Corp	STT
Student Ln Corp	STU	Starwood Ppty Tr Inc	STWD
Seagate Technology	STX	Stereotaxis Inc	STXS
South Texas Oil Co	STXX	Constellation Brands	STZ
Suffolk Bancorp	SUBK	Sulphco Inc	SUF
Southern Un Co New	SUG	Sun Communities Inc	SUI
Sunoco Inc	SUN	Sun Healthcare Group	SUNH
Superior Inds Intl	SUP	Supergen Inc	SUPG
Superior Bancorp	SUPR	Supertex Inc	SUPX
Cna Surety Corp	SUR	Synergetics Usa Inc	SURG
Surewest Communicati	SURW	Susquehanna Bkshs Pa	SUSQ
Susser Hldgs Corp	SUSS	Severn Bancorp Anna	SVBI
Silverleaf Resorts I	SVLF	Savient Pharmaceutic	SVNT
Syniverse Hldgs Inc	SVR	Servotronics Inc	SVT
Supervalu Inc	SVU	Savvis Inc	SVVS
Stillwater Mng Co	SWC	Smith & Wesson Hldg	SWHC
Solarwinds Inc	SWI	Stanley Wks	SWK
Skyworks Solutions I	SWKS	Schweitzer-Mauduit I	SWM
Southwestern Energy	SWN	Sws Group Inc	SWS
Superior Well Svcs I	SWSI	Southwest Wtr Co	SWWC
Southwest Gas Corp	SWX	Safeway Inc	SWY
Stanley Inc	SXE	Standex Intl Corp	SXI
Sunoco Logistics Prt	SXL	Sensient Technologie	SXT
Sybase Inc	SY	S Y Bancorp Inc	SYBT
Stryker Corp	SYK	Sykes Enterprises In	SYKE
Symantec Corp	SYMC	Synthemed Inc	SYMD
Symmetricom Inc	SYMM	Syms Corp	SYMS
Synthesis Energy Sys	SYMX	Synaptics Inc	SYNA
Synalloy Corp	SYNL	Syntroleum Corp	SYNM
Synovis Life Technol	SYNO	Syntel Inc	SYNT
Sypris Solutions Inc	SYPR	Systemax Inc	SYX
Sysco Corp	SYY	At&T Inc	T
Travelcenters Of Ame	TA	Transact Technologie	TACT
Tal Intl Group Inc	TAL	Tamalpais Bancorp	TAMB
Molson Coors Brewing	TAP	Taser Intl Inc	TASR
Carrols Restaurant G	TAST	Medallion Finl Corp	TAXI
Taylor Cap Group Inc	TAYC	Taylor Devices Inc	TAYD
Tandy Brands Accesso	TBAC	Bancorp Inc Del	TBBK
The Bank Holdings In	TBHS	Trueblue Inc	TBI
Transgenomic Inc	TBIO	Timberland Co	TBL
Tbs International Plc	TBSI	Dri Corporation	TBUS
Tcf Bkg & Svgs Fa Mi	TCB	Texas Capital Bancsh	TCBI
Trico Bancshares	TCBK	21st Centy Hldg Co	TCHC
Transcontinental Rlt	TCI	Tc Pipelines Lp	TCLP
Taubman Ctrs Inc	TCO	Teradata Corp Del	TDC
Transdigm Group Inc	TDG	Telephone & Data Sys	TDS
3-D Sys Corp Del	TDSC	Tidewater Inc.	TDW
Teledyne Technologie	TDY	Teco Energy Inc	TE
Techteam Global Inc	TEAM	Teton Energy Corp	TEC
Tech Data Corp	TECD	Techne Corp	TECH
Tecumseh Prods Co	TECU.A	Integrys Energy Grou	TEG
Telik Inc	TELK	Tenneco Automotive I	TEN
Teradyne Inc	TER	Tesco Corp	TESO
Tessco Technologies	TESS	Terex Corp New	TEX
Tufco Technologies I	TFCO	Tfs Finl Corp	TFSL
Teleflex Inc	TFX	Tredegar Inds Inc	TG
Tegal Corp	TGAL	Tengasco Inc	TGC
Tgc Inds Inc	TGE	Targeted Genetics Co	TGEN
Textainer Group Holding	TGH	Triumph Group Inc Ne	TGI
Triad Gty Inc	TGIC	Thomas Group Inc	TGIS
Theglobe Com Inc	TGLO	Teekay Lng Partners	TGP
Target Corp	TGT	Theragenics Corp	TGX
Tenet Healthcare Cor	THC	First Finl Corp Ind	THFF
Hanover Ins Group In	THG	Threshold Pharmaceutica	THLD
Thermadyne Hldgs Cor	THMD	Thor Inds Inc	THO
Thoratec Corp.	THOR	Thq Inc	THQI
Theravance Inc	THRX	Treehouse Foods Inc	THS
Tib Finl Corp	TIBB	Tibco Software Inc	TIBX
Titanium Metals Corp	TIE	Tier Technologies In	TIER
Tiffany & Co New	TIF	Tigerlogic Corporation	TIGR
Tii Inds Inc	TIII	Temple Inland Inc	TIN
Orchids Paper Prods	TIS	Team Inc	TISI
Titan Machy Inc	TITN	Tri Vy Corp	TIV
Tivo Inc	TIVO	Tix Corp	TIXC
Tjx Cos Inc New	TJX	Teekay Shipping Mars	TK
Tekelec	TKLC	Telkonet Inc	TKOI
Timken Co	TKR	Tellabs Inc	TLAB
Talbots Inc	TLB	Talecris Biotherapeutic	TLCR
Taleo Corp	TLEO	Tandy Leather Factor	TLF
Tollgrade Communicat	TLGD	Transmontaigne Partn	TLP
Timberline Res Corp	TLR	Trans Lux Corp	TLX
Temecula Valley Bank	TMCV	Team Health Holdings In	TMH
Torchmark Corp	TMK	Management Network Grou	TMNG.D
Thermo Fisher Scientifi	TMO	Tompkins Cnty Trustc	TMP
Meridian Resource Co	TMR	Terremark Worldwide	TMRK
Thomas & Betts Corp	TNB	Tennant Co	TNC
Neutral Tandem Inc	TNDM	Terra Nitrogen Co L	TNH
Technitrol Inc	TNL	Tns Inc	TNS
Tech Ops Sevcon Inc	TO	Todd Shipyards Corp	TOD
Tofu Time Inc Del	TOF	Toll Brothers Inc	TOL
Tomotherapy Inc	TOMO	Tierone Corp	TONE
Teekay Offshore Part	TOO	Tor Minerals Intl In	TORM
Townebank Portsmouth	TOWN	Tutor Perini Corp	TPC
Thomas Pptys Group I	TPGI	Barzel Inds Inc	TPUT
Tempur Pedic Intl In	TPX	Triquint Semiconduct	TQNT
Tootsie Roll Inds In	TR	Terra Inds Inc	TRA
Track Data Corp	TRAC	Tradestation Group I	TRAD
Dealertrack Hldgs In	TRAK	Trubion Pharmaceutic	TRBN
Trailer Bridge	TRBR	Tejon Ranch Co	TRC
Technology Resh Corp	TRCI	Transcend Services I	TRCR
Tree Com Inc	TREE	Trex Inc	TREX
Toreador Res Corp	TRGL	Targacept Inc	TRGT
Transatlantic Hldgs	TRH	Trident Microsystems	TRID
Speedway Motorsports	TRK	True Religion Appare	TRLG
Trico Marine Service	TRMA	Trimble Navigation L	TRMB
Trustmark Corp	TRMK	Trimeris Inc	TRMS
Trinity Inds Inc	TRN	T.Rowe Price Group I	TROW
Trc Cos Inc	TRR	Trimas Corp	TRS
Trustco Bk Corp N Y	TRST	Trio Tech Intl	TRT
Travelers Companies	TRV	Trw Automotive Hldgs	TRW
Trx Inc	TRXI	Timberland Bancorp I	TSBK
Thestreet Com	TSCM	Tractor Supply Co	TSCO
South Finl Group Inc	TSFG	Teche Hldg Co	TSH
Tyson Foods Inc	TSN	Tesoro Pete Corp	TSO
Trans1 Inc	TSON	Transcept Pharmaceutica	TSPT
Tessera Technologies	TSRA	Tsr Inc	TSRI
Total Sys Svcs Inc	TSS	Teamstaff Inc	TSTF
Terrestar Corp	TSTR	Tasty Baking Co	TSTY
Telecommunications S	TSYS	Toro Co	TTC
Teletech Holdings In	TTEC	Tetra Tech Inc New	TTEK
T-3 Energy Srvcs Inc	TTES	Techtarget Inc	TTGT
Tetra Technologies I	TTI	Ttm Technologies In	TTMI
Take-Two Interactive	TTWO	Mac-Gray Corp	TUC
Tuesday Morning Corp	TUES	Microtune Inc Del	TUNE
Tupperware Corp	TUP	Plato Learning Inc	TUTR
Lin Tv Corp	TVL	Towers Watson & Co	TW
Time Warner Cable Inc	TWC	Towerstream Corp	TWER
Tower Group Inc	TWGP	Titan Intl Inc Ill	TWI
Twin Disc Inc	TWIN	Techwell Inc	TWLL
Trans World Entmt Co	TWMC	Thomas Weisel Partne	TWPG
Tw Telecom Inc	TWTC	Time Warner Inc	TWX
Transwitch Corp	TXCC	Txco Res Inc	TXCO
Texas Inds Inc	TXI	Texas Instrs Inc	TXN
Texas Roadhouse Inc	TXRH	Textron Inc	TXT
Tyler Technologies I	TYL	Monotype Imaging Holdin	TYPE
Travelzoo Inc	TZOO	Under Armour Inc	UA
Universal Truckload	UACL	United Amern Healthc	UAHC
Universal Amern Finl	UAM	Ual Corp	UAUA
Urstadt Biddle Pptys	UBA	United Bancorp Inc O	UBCP
Youbet Com Inc	UBET	United Security Banc	UBFO
United Financial Bancor	UBNK	Urstadt Biddle Pptys	UBP
Union First Mkt Banksh	UBSH	United Bankshs Inc W	UBSI
Ucbh Holdings Inc	UCBH	United Cmnty Bks Bla	UCBI
