Agilent Technologies	A	Alcoa Inc	AA
Bank Mutual Corp New	BKMU	Baker Michael Corp	BKR
Bakers Footwear Grou	BKRS	Barnes & Nobles Inc	BKS
Bankunited Finl Corp	BKUN.A	Bank Ky Finl Corp	BKYF
Belo A H Corp	BLC	Baldwin Technology I	BLD
Builders Firstsource	BLDR	Biolife Solutions In	BLFS
Building Matls Hldg	BLGM	Blackrock Inc	BLK
Blackbaud Inc	BLKB	Ball Corp	BLL
Bridgeline Software Inc	BLSW	Blount Intl Inc New	BLT
Biolase Technology I	BLTI	Immucor Inc	BLUD
Bmc Software Inc	BMC	Badger Meter Inc	BMI
Biomed Realty Trust	BMR	Bank Of Marin Bancorp	BMRC
Biomarin Pharmaceuti	BMRN	Bemis Inc	BMS
Bryn Mawr Bk Corp	BMTC	Biomimetic Therapeut	BMTI
Bristol Myers Squibb	BMY	Beneficial Mutual Banco	BNCL
Bnc Bancorp	BNCN	Bowne & Co Inc	BNE
Benihana Inc	BNHN.A	Burlington Northn Sa	BNI
Bionovo Inc	BNVI	Banks Com Inc	BNX
Bob Evans Farms Inc	BOBE	Bofi Hldg Inc	BOFI
Bank Fla Corp Naples	BOFL	Bank Hawaii Corp	BOH
Bok Finl Corp	BOKF	Bolt Technology Corp	BOLT
Bon-Ton Stores Inc	BONT	Dynamic Matls Corp	BOOM
Lacrosse Footwear In	BOOT	Biosante Pharmaceuti	BPAX
Boston Private Banco	BPFH	Bridgepoint Ed Inc	BPI
Buckeye Partners L P	BPL	Brookfield Pptys Cor	BPO
Popular Inc	BPOP	Broadpoint Gleacher Sec	BPSG
Bp Prudhoe Bay Rty T	BPT	Biopure Corp	BPUR
Bpz Energy Inc	BPZ	Broadridge Finl Solutio	BR
Brady Corporation	BRC	Brocade Communications	BRCD
Broadcom Corp	BRCM	Bre Properties Inc	BRE
Bridgford Foods Corp	BRID	Berkshire Hathaway I	BRK.A
Brookline Bancorp In	BRKL	Bruker Biosciences C	BRKR
